xLSTM,v1,161,182,15,71.0152,25.4606,0.7148
xLSTM,v1,161,172,15,82.2371,26.2970,0.7414
xLSTM,v2,161,183,15,76.9468,44.4939,0.6354
xLSTM,v1,161,196,15,87.4080,19.0821,0.6098
xLSTM,v2,161,196,15,79.9559,36.4338,0.6402
xLSTM,v1,161,183,15,117.0005,26.3326,0.5931
xLSTM,v1,161,207,15,150.1163,15.7996,0.4801
xLSTM,v2,161,172,15,67.9433,22.5150,0.7465
xLSTM,v2,161,182,15,99.1583,62.5540,0.5429
xLSTM,v2,161,207,15,158.3650,73.7173,0.5961
xLSTM,v2,161,223,15,75.0873,48.3619,0.6711
xLSTM,v1,161,223,15,117.9029,37.1345,0.6178
xLSTM,v1,161,232,15,69.7816,24.1238,0.7042
xLSTM,v1,172,182,15,357.3394,39.7037,0.8396
xLSTM,v1,172,161,15,450.5125,41.2367,0.8107
xLSTM,v2,172,182,15,423.1497,19.5695,0.8176
xLSTM,v2,172,161,15,447.0511,48.5530,0.8170
xLSTM,v1,172,196,15,374.0703,38.6139,0.8488
xLSTM,v2,161,232,15,98.6643,53.4341,0.7731
xLSTM,v1,172,183,15,363.3352,46.4099,0.8293
xLSTM,v2,172,196,15,500.9604,80.9289,0.7760
xLSTM,v2,172,183,15,431.7867,35.1951,0.8141
xLSTM,v1,172,207,15,317.5560,78.1288,0.8368
xLSTM,v2,172,207,15,351.8249,14.5710,0.8318
xLSTM,v1,161,172,5,74.6607,40.5846,0.6823
xLSTM,v1,161,182,5,62.9481,62.4623,0.7653
xLSTM,v1,172,223,15,438.9950,42.3188,0.7954
xLSTM,v1,172,232,15,444.9780,31.1908,0.7587
xLSTM,v2,172,223,15,357.3539,43.6584,0.8692
xLSTM,v1,161,207,5,100.6689,38.8098,0.5452
xLSTM,v2,172,232,15,265.2901,14.0268,0.9026
xLSTM,v1,161,183,5,73.0620,59.4295,0.6800
xLSTM,v1,161,196,5,128.3619,37.2745,0.6646
xLSTM,v1,161,223,5,136.1571,67.4906,0.6927
xLSTM,v1,161,232,5,93.1735,35.3375,0.5689
xLSTM,v1,182,161,15,175.9166,20.8331,0.7574
xLSTM,v1,182,172,15,227.2310,28.8020,0.6867
xLSTM,v2,182,161,15,228.5468,54.3406,0.7438
xLSTM,v1,182,183,15,211.6266,46.4024,0.7877
xLSTM,v1,172,196,5,418.3724,54.1785,0.8665
xLSTM,v1,172,161,5,463.6129,43.0510,0.7918
xLSTM,v2,182,172,15,213.8231,46.5749,0.7435
xLSTM,v1,172,182,5,418.2046,22.8363,0.8458
xLSTM,v2,182,183,15,216.7915,27.7560,0.7525
xLSTM,v1,172,207,5,396.9384,54.0273,0.8492
xLSTM,v2,161,196,5,100.6890,27.1222,0.5166
xLSTM,v2,161,172,5,105.2528,62.2594,0.4666
xLSTM,v1,182,196,15,288.2614,29.3266,0.5100
xLSTM,v1,172,223,5,405.7484,55.0615,0.8582
xLSTM,v2,161,223,5,100.1685,17.9044,0.7036
xLSTM,v1,172,183,5,305.9071,31.8154,0.8038
xLSTM,v2,161,232,5,97.5553,34.3303,0.5538
xLSTM,v2,182,196,15,183.2268,5.7667,0.8096
xLSTM,v1,182,223,15,127.4973,16.1660,0.8341
xLSTM,v1,182,207,15,212.2221,81.5080,0.7135
xLSTM,v2,161,182,5,107.3492,56.5340,0.5172
xLSTM,v2,161,183,5,99.4919,31.0123,0.5088
xLSTM,v2,182,207,15,184.8496,18.1597,0.7634
xLSTM,v2,172,196,5,403.3987,48.5534,0.8527
xLSTM,v2,182,223,15,243.8713,38.4065,0.7593
xLSTM,v1,182,232,15,222.6300,41.5483,0.7022
xLSTM,v2,172,161,5,538.3793,13.1982,0.7418
xLSTM,v2,161,207,5,113.4217,40.6193,0.3800
xLSTM,v1,172,232,5,364.2944,37.5698,0.8721
xLSTM,v2,172,182,5,445.6429,17.2535,0.7787
xLSTM,v2,172,207,5,512.9266,50.3166,0.8290
xLSTM,v2,172,183,5,616.4423,37.7451,0.7584
xLSTM,v1,183,161,15,170.4880,21.6789,0.7744
xLSTM,v1,183,182,15,104.9413,52.0477,0.8302
xLSTM,v1,182,161,5,230.7236,47.0489,0.6900
xLSTM,v2,182,232,15,195.7329,20.3697,0.7301
xLSTM,v1,183,172,15,115.4926,33.1158,0.8145
xLSTM,v1,182,172,5,231.0213,47.1957,0.8059
xLSTM,v1,183,196,15,115.6202,45.3889,0.8116
xLSTM,v2,183,172,15,134.2032,41.6881,0.7846
xLSTM,v2,183,182,15,211.2271,37.2527,0.6465
xLSTM,v2,183,161,15,146.0091,31.8332,0.7355
xLSTM,v2,183,196,15,87.9973,24.9384,0.8504
xLSTM,v1,182,207,5,206.2291,21.5393,0.6912
xLSTM,v1,182,183,5,253.6528,10.0145,0.6077
xLSTM,v2,183,207,15,168.0808,75.2349,0.7565
xLSTM,v1,183,207,15,118.2732,32.9305,0.7900
xLSTM,v1,183,223,15,117.0648,46.4614,0.8045
xLSTM,v2,183,223,15,146.5757,69.1028,0.7587
xLSTM,v1,182,196,5,212.8423,55.1751,0.6939
xLSTM,v1,182,223,5,172.5960,18.1702,0.7477
xLSTM,v2,172,223,5,361.0847,58.1631,0.8320
xLSTM,v1,183,232,15,141.6997,37.9022,0.7401
xLSTM,v2,182,172,5,248.2584,49.2599,0.7205
xLSTM,v1,196,161,15,31.9401,47.7689,0.8503
xLSTM,v2,182,183,5,242.9270,58.5720,0.6477
